Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
104,Gar Heard,29,PHO,PF,80,,2099,4.5,10.7,0.424,1.5,2.5,0.612,2.8,8.3,11.2,2.3,2.2,1.7,2.1,3.7,10.6,,heardga01
105,Mike Gale,27,SAS,SG,70,,2091,4.7,10,0.473,1.5,1.7,0.87,1,2.9,3.8,6.5,2.7,0.4,3,2.9,11,,galemi01
106,Quinn Buckner,23,MIL,PG,82,82,2072,5.5,11.7,0.468,2.3,3.5,0.645,1.4,2.9,4.3,7.9,3.3,0.3,4,5,13.2,,bucknqu01
107,Sonny Parker,22,GSW,SF,82,,2069,7.1,13.6,0.519,2.1,3,0.705,2.9,3.9,6.8,2.7,2.3,0.6,2.2,3.2,16.3,,parkeso01
108,World B. Free,24,PHI,SG,76,5,2050,6.8,15,0.455,7.2,9.9,0.731,1.6,2.1,3.7,5.4,1.2,0.7,3.5,3.5,20.9,,freewo01
109,Pete Maravich,30,NOJ,SG,50,,2041,9.8,22.1,0.444,4.2,4.9,0.87,0.9,2.3,3.1,5.9,1.8,0.1,4.4,2,23.8,ASNBA2,maravpe01
110,Louie Dampier,33,SAS,PG,82,,2037,5.9,11.7,0.509,1.3,1.8,0.752,0.4,1.7,2.2,5,1.5,0.2,1.7,1.5,13.2,,dampilo01
111,Jim Cleamons,28,NYK,PG,79,44,2009,3.9,8,0.48,1.5,1.8,0.786,1.2,2.6,3.8,5.1,1.2,0.3,2,2.5,9.2,,cleamji01
112,Chuck Williams,31,BUF,PG,73,,2002,3.7,7.8,0.477,2,2.5,0.826,0.5,1.9,2.5,5.7,0.9,0.1,2.8,2.5,9.5,,willich02
113,Elmore Smith,28,CLE,C,81,,1996,7.3,14.6,0.497,3.7,5.6,0.663,3.2,9,12.2,1,0.9,3.2,2.5,4.3,18.2,,smithel01
